gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass
LOC118261942								0.3312379	0.0		0.031387728		1.3913486	
LOC118261943								0.0	7.4456806		0.066630565		0.007885656	
LOC118261945								2.7476878	0.78000975		0.0		0.28724116	
LOC118261946								1.3643442	1.0081335		0.25270382		1.2296883	
LOC118261947								0.028425293	11.223708		2.0899343		0.15222727	
LOC118261951								0.763028	2.3895292		4.9137387		11.6905155	
LOC118261952								0.0	4.2354565		3.6130025		0.5878481	
LOC118261954								0.4344413	0.0		0.52143747		0.019312285	
LOC118261955								0.0	7.2218614		0.0		0.0	
LOC118261957								5.8374033	5.5757313		2.217131		3.737394	
LOC118261958								5.0700006	1.5099494		0.12528196		6.235643	
LOC118261959								5.84814	1.9374588		1.0275238		5.3682804	
LOC118261962								0.0	0.036778297		0.0		0.0	
LOC118261963								2.0186877	0.06557851		0.22297631		0.10546512	
LOC118261964								3.667888	3.7126968		3.2264593		4.7020383	
LOC118261971								0.028470991	0.9223432		0.0		0.11368018	
LOC118261972								0.0	6.5622063		0.0		0.0	
LOC118261973								0.8758821	0.4786953		0.8397013		0.6078877	
LOC118261974								0.7343361	0.0		0.08797343		0.08829993	
LOC118261976								4.2514434	0.70793927		0.32082215		2.0210798	
LOC118261978								0.10382868	6.065594		0.03531461		0.022333099	
LOC118261979								0.0	6.693937		0.05923833		0.013525949	
LOC118261980								7.825348	8.7211685		7.2386107		8.178869	
LOC118261981								3.4740708	2.032701		1.0808767		1.7388359	
LOC118261982								4.2765636	3.783748		2.598643		4.586684	
LOC118261983								0.040464647	0.0		0.0		0.36261648	
LOC118261984								0.01908776	2.5040898		4.9985347		1.4413567	
LOC118261986								0.011574827	0.013724936		0.0		0.0032967494	
LOC118261987								5.8667283	5.048382		0.35002786		0.6374631	
LOC118261988								4.540054	4.6263604		5.1775265		1.9511365	
LOC118261989								5.1488013	2.3236258		1.7049408		3.050172	
LOC118261990								3.6586378	4.988103		0.9881601		2.6060655	
LOC118261992								0.3108148	0.0		0.0		0.0	
LOC118261994								0.27169752	0.0		0.0		0.0	
LOC118261996								5.1550536	2.955836		0.37630615		1.2696595	
LOC118261998								0.17805967	2.9110277		5.045633		2.7868764	
LOC118261999								0.0	2.2251403		2.1257768		0.042438906	
LOC118262000								0.0	0.0		0.0		0.04261808	
LOC118262001								0.025323097	5.980085		0.057108257		0.17503065	
LOC118262002								3.4513824	0.18055584		0.022047054		4.709384	
LOC118262003								2.5974905	0.17180032		0.24800658		0.9340738	
LOC118262004								0.055110123	0.0		0.020156953		0.02523691	
LOC118262005								0.113327734	0.022438254		0.0		0.010765576	
LOC118262006								3.8323154	2.3313625		0.9809557		1.6426702	
LOC118262007								3.5341961	2.040517		1.2652096		2.3780818	
LOC118262008								7.7362475	4.815993		5.704997		5.5337377	
LOC118262010								3.0365188	0.6833385		0.53366256		0.9300603	
